PUZone,month,count
Garment District,2,187081
Rockaway Park,2,8
Fort Greene,2,9312
Melrose South,2,510
Glendale,2,80
Newark Airport,2,561
Washington Heights North,2,2064
Williamsburg (South Side),2,11285
Yorkville East,2,106588
Dyker Heights,2,51
Stuy Town/Peter Cooper Village,2,27329
Broad Channel,2,2
Marine Park/Mill Basin,2,44
Seaport,2,17280
Kingsbridge Heights,2,111
Central Park,2,111780
Hamilton Heights,2,11664
Flushing Meadows-Corona Park,2,950
Springfield Gardens South,2,362
Brighton Beach,2,53
Oakland Gardens,2,22
Central Harlem North,2,14939
Willets Point,2,28
Cypress Hills,2,432
Midtown Center,2,347809
Homecrest,2,137
Pelham Bay Park,2,4
Union Sq,2,314375
Springfield Gardens North,2,52
Meatpacking/West Village West,2,111494
NV,2,151877
Stuyvesant Heights,2,1123
Manhattan Valley,2,78689
Boerum Hill,2,9975
Bensonhurst West,2,128
Hunts Point,2,91
Long Island City/Queens Plaza,2,9926
Old Astoria,2,5942
Norwood,2,80
Middle Village,2,146
Lower East Side,2,145977
Morrisania/Melrose,2,220
Flatbush/Ditmas Park,2,858
Borough Park,2,198
Manhattanville,2,9706
Penn Station/Madison Sq West,2,324149
New Dorp/Midland Beach,2,4
Upper East Side North,2,321537
East Elmhurst,2,1109
Clinton East,2,283544
West Concourse,2,1657
Glen Oaks,2,25
Country Club,2,3
Queensbridge/Ravenswood,2,4580
Saint Michaels Cemetery/Woodside,2,562
Mott Haven/Port Morris,2,1791
Eastchester,2,50
Brooklyn Heights,2,9537
East Flatbush/Remsen Village,2,115
Astoria Park,2,104
Morningside Heights,2,50678
Upper East Side South,2,342756
Sunset Park West,2,921
Flatiron,2,178624
Kensington,2,522
Bronxdale,2,33
Bloomfield/Emerson Hill,2,14
West Village,2,208857
TriBeCa/Civic Center,2,176909
South Beach/Dongan Hills,2,12
Jamaica,2,573
Roosevelt Island,2,445
Park Slope,2,11116
Windsor Terrace,2,325
Astoria,2,16643
Rego Park,2,693
Bushwick South,2,3074
SoHo,2,81753
Rossville/Woodrow,2,2
Van Cortlandt Village,2,100
East Tremont,2,93
Bay Terrace/Fort Totten,2,11
Breezy Point/Fort Tilden/Riis Beach,2,2
Hudson Sq,2,60432
University Heights/Morris Heights,2,192
Co-Op City,2,48
JFK Airport,2,186070
Sutton Place/Turtle Bay North,2,170555
Bedford,2,2924
Fresh Meadows,2,39
Battery Park City,2,82241
NA,2,4130
Downtown Brooklyn/MetroTech,2,12492
Cambria Heights,2,32
World Trade Center,2,48555
Highbridge,2,233
West Chelsea/Hudson Yards,2,138398
Upper West Side North,2,174285
Elmhurst/Maspeth,2,1170
Van Cortlandt Park,2,39
Brooklyn Navy Yard,2,283
Lincoln Square East,2,257701
Inwood,2,1024
Battery Park,2,2781
Bensonhurst East,2,47
Gowanus,2,1720
Howard Beach,2,65
Carroll Gardens,2,5494
Crotona Park East,2,64
Murray Hill-Queens,2,36
Long Island City/Hunters Point,2,10729
Little Italy/NoLiTa,2,111389
Highbridge Park,2,66
Mount Hope,2,152
Westchester Village/Unionport,2,82
Crown Heights South,2,402
Midtown North,2,241636
Woodlawn/Wakefield,2,49
Midtown East,2,309016
Bloomingdale,2,27360
Riverdale/North Riverdale/Fieldston,2,57
Inwood Hill Park,2,59
Ozone Park,2,60
Yorkville West,2,157616
Crown Heights North,2,2279
East New York/Pennsylvania Avenue,2,101
Williamsbridge/Olinville,2,37
West Brighton,2,6
East New York,2,247
East Harlem North,2,31571
Madison,2,68
Times Sq/Theatre District,2,312275
Kew Gardens Hills,2,169
Coney Island,2,55
East Flatbush/Farragut,2,102
Stapleton,2,27
East Chelsea,2,218766
Ocean Hill,2,236
Manhattan Beach,2,25
Sheepshead Bay,2,51
Rikers Island,2,1
Governor's Island/Ellis Island/Liberty Island,2,3
Laurelton,2,17
Jackson Heights,2,5453
Claremont/Bathgate,2,117
Kips Bay,2,114905
South Williamsburg,2,987
Soundview/Bruckner,2,121
Parkchester,2,101
Marble Hill,2,110
City Island,2,7
LaGuardia Airport,2,193930
Forest Park/Highland Park,2,16
Greenwich Village North,2,160109
South Jamaica,2,527
Clinton Hill,2,3870
Spuyten Duyvil/Kingsbridge,2,245
Great Kills,2,4
Chinatown,2,21241
Lincoln Square West,2,96986
Erasmus,2,219
Pelham Bay,2,17
Charleston/Tottenville,2,2
Financial District South,2,35431
Rosedale,2,42
East Williamsburg,2,5575
Ocean Hill,3,313
Greenwich Village South,3,145275
Rockaway Park,3,16
Midtown North,3,271915
Sheepshead Bay,3,56
Kips Bay,3,134039
Marine Park/Floyd Bennett Field,3,30
Clinton East,3,327184
Greenpoint,3,6682
Saint Michaels Cemetery/Woodside,3,592
Bensonhurst West,3,143
Kensington,3,597
Ozone Park,3,64
Marine Park/Mill Basin,3,51
Jamaica,3,791
Central Park,3,122901
Rosedale,3,46
Woodside,3,6819
North Corona,3,368
West Farms/Bronx River,3,89
Corona,3,360
Springfield Gardens North,3,69
Van Cortlandt Village,3,141
Prospect Heights,3,3475
Bay Terrace/Fort Totten,3,18
DUMBO/Vinegar Hill,3,4105
Starrett City,3,22
Grymes Hill/Clifton,3,15
Oakwood,3,5
World Trade Center,3,55946
Financial District South,3,40942
Hillcrest/Pomonok,3,78
Flushing Meadows-Corona Park,3,1104
Canarsie,3,177
Manhattanville,3,11289
Sunset Park West,3,1135
Green-Wood Cemetery,3,15
Pelham Bay Park,3,5
Upper East Side South,3,380997
Mariners Harbor,3,7
Longwood,3,105
Port Richmond,3,2
Upper East Side North,3,352736
Sutton Place/Turtle Bay North,3,195331
Bedford,3,3484
Crown Heights North,3,2673
East Concourse/Concourse Village,3,619
Bronxdale,3,50
Spuyten Duyvil/Kingsbridge,3,220
Bushwick North,3,1634
Elmhurst,3,2974
Madison,3,58
Laurelton,3,14
Meatpacking/West Village West,3,117733
Erasmus,3,268
Mount Hope,3,270
Bellerose,3,42
East Harlem South,3,71976
Cobble Hill,3,6547
Woodhaven,3,151
Lower East Side,3,147439
Seaport,3,19930
Greenwich Village North,3,172529
Midwood,3,198
Governor's Island/Ellis Island/Liberty Island,3,12
Hudson Sq,3,62898
Central Harlem,3,40558
East Elmhurst,3,1433
Charleston/Tottenville,3,4
Hollis,3,19
Riverdale/North Riverdale/Fieldston,3,67
Lincoln Square East,3,290238
Saint Albans,3,39
Manhattan Beach,3,23
Heartland Village/Todt Hill,3,6
Manhattan Valley,3,88499
Upper West Side South,3,261620
South Ozone Park,3,652
Astoria Park,3,136
Arden Heights,3,4
South Williamsburg,3,1295
East New York,3,336
Prospect Park,3,528
Westchester Village/Unionport,3,134
Willets Point,3,15
Boerum Hill,3,11709
East Flatbush/Remsen Village,3,147
East New York/Pennsylvania Avenue,3,78
Downtown Brooklyn/MetroTech,3,14513
Bloomingdale,3,30841
Union Sq,3,341603
Gravesend,3,36
Rego Park,3,855
Arrochar/Fort Wadsworth,3,41
Woodlawn/Wakefield,3,72
Van Cortlandt Park,3,24
Morningside Heights,3,55411
Jackson Heights,3,6354
Parkchester,3,140
Murray Hill-Queens,3,65
Soundview/Bruckner,3,159
Cambria Heights,3,34
East Chelsea,3,236552
Briarwood/Jamaica Hills,3,606
Jamaica Estates,3,79
Breezy Point/Fort Tilden/Riis Beach,3,2
Gowanus,3,2099
Westerleigh,3,111
Ocean Parkway South,3,116
Douglaston,3,21
East Harlem North,3,41995
Flatlands,3,162
Brighton Beach,3,65
Hunts Point,3,126
Crotona Park East,3,84
Pelham Parkway,3,75
Battery Park City,3,94919
Steinway,3,7006
South Jamaica,3,634
Long Island City/Hunters Point,3,14382
Forest Hills,3,1505
New Dorp/Midland Beach,3,10
LaGuardia Airport,3,246789
NV,3,181068
Financial District North,3,78221
East Tremont,3,145
Co-Op City,3,56
City Island,3,4
Midtown Center,3,377452
Soundview/Castle Hill,3,156
Borough Park,3,181
University Heights/Morris Heights,3,296
Elmhurst/Maspeth,3,1407
Whitestone,3,61
Saint George/New Brighton,3,8
Crown Heights South,3,502
Auburndale,3,34
Highbridge Park,3,55
Yorkville East,3,118403
Lenox Hill West,3,232399
Bay Ridge,3,542
Rikers Island,3,18
Flushing,3,498
Gramercy,3,249716
Sunnyside,3,20850
Claremont/Bathgate,3,170
Oakland Gardens,3,29
Times Sq/Theatre District,3,358287
Bedford Park,3,130
Inwood Hill Park,3,66
Central Harlem North,3,19943
Alphabet City,3,29594
Washington Heights North,3,2338
Bushwick South,3,3276
Brownsville,3,160
Norwood,3,115
Howard Beach,3,145
East Flatbush/Farragut,3,149
Brooklyn Navy Yard,3,374
Morrisania/Melrose,3,355
Glen Oaks,3,31
Bensonhurst East,3,58
Rossville/Woodrow,3,10
Broad Channel,3,3
Melrose South,3,767
Flatiron,3,193817
Astoria,3,19707
Clinton Hill,3,4589
Middle Village,3,180
Fordham South,3,81
Midtown East,3,345198
Mott Haven/Port Morris,3,2305
Randalls Island,3,522
Two Bridges/Seward Park,3,21127
Prospect-Lefferts Gardens,3,1496
West Village,3,217929
Baisley Park,3,1931
Highbridge,3,357
Brooklyn Heights,3,11702
Dyker Heights,3,84
Penn Station/Madison Sq West,3,356988
Glendale,3,90
Jamaica Bay,3,7
Great Kills,3,7
Kew Gardens Hills,3,163
East Williamsburg,3,5975
Bayside,3,37
West Chelsea/Hudson Yards,3,142344
Far Rockaway,3,13
Little Italy/NoLiTa,3,114289
Queens Village,3,65
Homecrest,3,198
South Beach/Dongan Hills,3,6
Old Astoria,3,7181
Springfield Gardens South,3,490
Flatbush/Ditmas Park,3,1048
Richmond Hill,3,345
Lincoln Square West,3,112376
West Concourse,3,2181
Yorkville West,3,180784
Bronx Park,3,41
Windsor Terrace,3,383
Lenox Hill East,3,175179
Fresh Meadows,3,46
West Brighton,3,3
Garment District,3,207869
Eltingville/Annadale/Prince's Bay,3,2
NA,3,5082
Battery Park,3,3394
Forest Park/Highland Park,3,28
Bloomfield/Emerson Hill,3,20
Red Hook,3,579
Bath Beach,3,57
College Point,3,76
East Village,3,316027
Murray Hill,3,335374
Williamsburg (South Side),3,12282
Eastchester,3,35
Washington Heights South,3,12171
Van Nest/Morris Park,3,207
East Flushing,3,30
Upper West Side North,3,189719
Queensbridge/Ravenswood,3,5809
Kingsbridge Heights,3,148
Belmont,3,89
Ridgewood,3,473
Stuy Town/Peter Cooper Village,3,30067
Newark Airport,3,698
Columbia Street,3,550
Pelham Bay,3,20
Stapleton,3,13
Stuyvesant Heights,3,1306
UN/Turtle Bay South,3,137409
Sunset Park East,3,107
SoHo,3,83266
Midtown South,3,246361
Hamilton Heights,3,13296
Carroll Gardens,3,6688
Roosevelt Island,3,462
Inwood,3,1144
Schuylerville/Edgewater Park,3,80
Crotona Park,3,2
Williamsburg (North Side),3,14189
Fort Greene,3,11678
Coney Island,3,101
JFK Airport,3,236715
Chinatown,3,22190
Cypress Hills,3,457
Country Club,3,9
Allerton/Pelham Gardens,3,28
TriBeCa/Civic Center,3,190724
Maspeth,3,481
Marble Hill,3,129
Williamsbridge/Olinville,3,83
Park Slope,3,14471
Kew Gardens,3,587
Long Island City/Queens Plaza,3,11842
Queensboro Hill,3,109
Hammels/Arverne,3,12
Clinton West,3,107752
Old Astoria,4,6398
Freshkills Park,4,4
Longwood,4,83
Bay Terrace/Fort Totten,4,13
Van Cortlandt Park,4,31
Boerum Hill,4,10754
Gowanus,4,2001
South Beach/Dongan Hills,4,8
Heartland Village/Todt Hill,4,76
TriBeCa/Civic Center,4,191401
World Trade Center,4,60978
Kips Bay,4,124816
Stapleton,4,19
Bloomingdale,4,30715
Woodhaven,4,127
Forest Hills,4,1339
Cobble Hill,4,5833
Stuyvesant Heights,4,1305
Bath Beach,4,62
Coney Island,4,94
Downtown Brooklyn/MetroTech,4,14136
Mariners Harbor,4,279
Saint George/New Brighton,4,5
Brownsville,4,127
Windsor Terrace,4,413
Oakland Gardens,4,28
Inwood Hill Park,4,61
Columbia Street,4,602
Two Bridges/Seward Park,4,20270
Borough Park,4,252
Glen Oaks,4,33
Ocean Hill,4,234
Brighton Beach,4,45
Financial District North,4,78523
Saint Albans,4,47
LaGuardia Airport,4,260742
Midwood,4,147
Washington Heights North,4,2072
Inwood,4,1138
New Dorp/Midland Beach,4,7
NV,4,140788
Meatpacking/West Village West,4,126235
Rossville/Woodrow,4,7
Willets Point,4,23
Fordham South,4,50
Westchester Village/Unionport,4,107
East New York,4,263
West Chelsea/Hudson Yards,4,150019
Clinton East,4,314603
Ocean Parkway South,4,115
Seaport,4,19629
West Brighton,4,3
Central Harlem,4,37073
East Williamsburg,4,7072
Midtown North,4,263076
Dyker Heights,4,55
Glendale,4,93
Westerleigh,4,9
Kingsbridge Heights,4,130
Erasmus,4,254
Jamaica Bay,4,5
Eastchester,4,28
Manhattan Valley,4,85977
Astoria Park,4,107
Brooklyn Navy Yard,4,295
Bellerose,4,67
Elmhurst,4,2771
Manhattanville,4,10595
Brooklyn Heights,4,11382
Clinton Hill,4,4111
Allerton/Pelham Gardens,4,28
Eltingville/Annadale/Prince's Bay,4,3
Battery Park,4,4420
Carroll Gardens,4,5760
East New York/Pennsylvania Avenue,4,53
Far Rockaway,4,9
Spuyten Duyvil/Kingsbridge,4,213
East Chelsea,4,236737
Kew Gardens,4,447
Parkchester,4,92
Bushwick North,4,1959
Woodlawn/Wakefield,4,59
Belmont,4,58
Upper East Side North,4,354946
Auburndale,4,38
Highbridge,4,368
Flatlands,4,136
Canarsie,4,140
Pelham Bay Park,4,8
College Point,4,70
Port Richmond,4,8
Crown Heights North,4,2475
Bushwick South,4,3490
Co-Op City,4,46
West Village,4,216792
South Jamaica,4,658
Central Park,4,143785
Douglaston,4,28
Yorkville East,4,118461
Rego Park,4,757
Grymes Hill/Clifton,4,12
University Heights/Morris Heights,4,208
Van Nest/Morris Park,4,118
SoHo,4,83694
Williamsburg (North Side),4,14614
Maspeth,4,480
Forest Park/Highland Park,4,24
Rockaway Park,4,20
Broad Channel,4,4
Kew Gardens Hills,4,142
East Tremont,4,121
Astoria,4,17848
Country Club,4,3
Rikers Island,4,2
Little Italy/NoLiTa,4,117213
Greenwich Village South,4,146845
Kensington,4,440
Corona,4,356
Pelham Parkway,4,67
Queensbridge/Ravenswood,4,5352
Roosevelt Island,4,456
Battery Park City,4,97641
Crown Heights South,4,512
East Flatbush/Farragut,4,117
East Elmhurst,4,1569
Richmond Hill,4,387
Bloomfield/Emerson Hill,4,14
Newark Airport,4,688
Bronx Park,4,41
Governor's Island/Ellis Island/Liberty Island,4,9
Greenwich Village North,4,167971
Hudson Sq,4,61406
Greenpoint,4,6369
West Farms/Bronx River,4,99
Bronxdale,4,19
Crotona Park,4,5
Breezy Point/Fort Tilden/Riis Beach,4,1
Gravesend,4,49
Murray Hill,4,315575
Sheepshead Bay,4,46
Riverdale/North Riverdale/Fieldston,4,76
UN/Turtle Bay South,4,128517
West Concourse,4,1991
Ridgewood,4,397
Queensboro Hill,4,88
Lincoln Square West,4,104684
Briarwood/Jamaica Hills,4,604
Hillcrest/Pomonok,4,72
Williamsburg (South Side),4,12895
North Corona,4,329
East Harlem North,4,36724
Clinton West,4,100247
Steinway,4,6279
Flatiron,4,192545
Hunts Point,4,110
East Village,4,303044
Upper West Side North,4,185680
Bedford,4,3054
Hamilton Heights,4,12006
Garment District,4,194179
Hollis,4,20
Norwood,4,87
East Harlem South,4,65804
Middle Village,4,145
Van Cortlandt Village,4,85
Laurelton,4,20
Morningside Heights,4,55657
Homecrest,4,135
Highbridge Park,4,67
Washington Heights South,4,10369
Jamaica,4,818
Springfield Gardens North,4,68
Whitestone,4,47
Upper West Side South,4,254374
Cypress Hills,4,109
Sunset Park West,4,1197
Flushing,4,495
Soundview/Castle Hill,4,126
Bayside,4,40
Bensonhurst East,4,52
Oakwood,4,3
Great Kills,4,6
Marble Hill,4,109
Park Slope,4,12191
Lenox Hill East,4,160923
Soundview/Bruckner,4,108
Penn Station/Madison Sq West,4,342596
Murray Hill-Queens,4,64
Long Island City/Hunters Point,4,12653
Mott Haven/Port Morris,4,2036
Bensonhurst West,4,151
Mount Hope,4,219
East Flatbush/Remsen Village,4,102
Fresh Meadows,4,33
Arden Heights,4,6
City Island,4,4
Stuy Town/Peter Cooper Village,4,29645
Bay Ridge,4,387
Manhattan Beach,4,23
Fort Greene,4,10008
Long Island City/Queens Plaza,4,10733
Starrett City,4,14
Alphabet City,4,27224
Flushing Meadows-Corona Park,4,1212
Gramercy,4,239571
Yorkville West,4,175017
Rosedale,4,32
Saint Michaels Cemetery/Woodside,4,452
Melrose South,4,575
Woodside,4,5817
Howard Beach,4,98
Hammels/Arverne,4,12
Flatbush/Ditmas Park,4,884
Sunnyside,4,17170
East Concourse/Concourse Village,4,457
Williamsbridge/Olinville,4,62
Randalls Island,4,698
Red Hook,4,541
Morrisania/Melrose,4,232
Ozone Park,4,64
Financial District South,4,41634
Sutton Place/Turtle Bay North,4,188735
Springfield Gardens South,4,533
NA,4,5131
Schuylerville/Edgewater Park,4,71
Marine Park/Mill Basin,4,55
Pelham Bay,4,13
Midtown South,4,239081
Midtown Center,4,366820
Marine Park/Floyd Bennett Field,4,24
Elmhurst/Maspeth,4,1242
Prospect-Lefferts Gardens,4,1345
Jamaica Estates,4,47
East Flushing,4,17
DUMBO/Vinegar Hill,4,4431
South Ozone Park,4,651
Sunset Park East,4,133
Prospect Park,4,696
Midtown East,4,331242
Union Sq,4,326389
Chinatown,4,22344
Lower East Side,4,151204
Upper East Side South,4,390697
Green-Wood Cemetery,4,29
Crotona Park East,4,78
Baisley Park,4,1844
Lincoln Square East,4,286473
Lenox Hill West,4,226445
Claremont/Bathgate,4,121
Central Harlem North,4,16883
Bedford Park,4,149
Queens Village,4,84
Madison,4,46
Times Sq/Theatre District,4,337932
Jackson Heights,4,5827
Cambria Heights,4,15
Prospect Heights,4,3369
JFK Airport,4,245293
South Williamsburg,4,896
Arrochar/Fort Wadsworth,4,60
