src,dst,count,month,avg_fare
Upper West Side North,Soundview/Castle Hill,19,1,30.984736842105264
Van Cortlandt Park,Forest Park/Highland Park,1,1,53.34
Washington Heights South,Williamsbridge/Olinville,4,1,27.310000000000002
West Chelsea/Hudson Yards,SoHo,1572,1,15.59554707379138
West Village,South Beach/Dongan Hills,1,1,62.88
West Village,West Chelsea/Hudson Yards,5685,1,10.791660510114333
Woodhaven,Howard Beach,3,1,12.300000000000002
Woodside,Little Italy/NoLiTa,7,1,42.36
World Trade Center,Briarwood/Jamaica Hills,1,1,47.3
World Trade Center,Middle Village,14,1,40.326428571428565
Yorkville East,Bay Terrace/Fort Totten,3,1,51.77333333333333
Yorkville West,Lincoln Square West,1374,1,15.041957787481824
Yorkville West,Stuyvesant Heights,18,1,37.87444444444444
Alphabet City,Jackson Heights,29,1,31.265862068965514
Bedford,Chinatown,8,1,18.59375
Bensonhurst West,Battery Park City,1,1,32.8
Bloomingdale,Central Park,561,1,10.733689839572184
Bloomingdale,Woodlawn/Wakefield,5,1,45.272
Boerum Hill,Brooklyn Heights,591,1,8.061201353637898
Borough Park,Flatbush/Ditmas Park,4,1,8.55
Briarwood/Jamaica Hills,Soundview/Castle Hill,1,1,58.34
Brighton Beach,Bensonhurst East,2,1,12.05
Brooklyn Navy Yard,Dyker Heights,1,1,27.8
Bushwick North,Greenpoint,71,1,13.927464788732395
Bushwick North,Manhattan Valley,1,1,43.55
Bushwick South,East Harlem North,4,1,40.339999999999996
Bushwick South,Long Island City/Hunters Point,16,1,18.011875
Central Harlem North,Pelham Parkway,8,1,26.945
Clinton East,Fresh Meadows,6,1,51.178333333333335
Clinton East,Prospect-Lefferts Gardens,105,1,39.023714285714284
Clinton West,Lenox Hill West,778,1,15.19145244215937
DUMBO/Vinegar Hill,Brownsville,2,1,24.55
DUMBO/Vinegar Hill,Central Harlem North,1,1,28.8
DUMBO/Vinegar Hill,West Village,45,1,17.703333333333333
Downtown Brooklyn/MetroTech,Garment District,78,1,22.58935897435898
Downtown Brooklyn/MetroTech,Kew Gardens Hills,5,1,34.251999999999995
Downtown Brooklyn/MetroTech,Red Hook,66,1,14.300757575757578
Downtown Brooklyn/MetroTech,Saint Albans,1,1,45.0
