PUHour,PUZone,month,count
afternoon,Boerum Hill,1,2045
midnight,Bushwick South,1,2000
morning,Park Slope,1,1975
midnight,Fort Greene,1,1921
morning,Queensbridge/Ravenswood,1,1904
afternoon,Battery Park,1,1898
evening,Greenpoint,1,1886
afternoon,Park Slope,1,1857
morning,Long Island City/Hunters Point,1,1803
midnight,Woodside,1,1798
midnight,Downtown Brooklyn/MetroTech,1,1762
midnight,Washington Heights South,1,1736
morning,Jackson Heights,1,1734
evening,East Williamsburg,1,1721
morning,Fort Greene,1,1585
afternoon,Fort Greene,1,1514
evening,NA,1,1478
afternoon,Old Astoria,1,1371
evening,Clinton Hill,1,1364
midnight,Steinway,1,1359
midnight,Manhattanville,1,1348
afternoon,Williamsburg (North Side),1,1344
midnight,Old Astoria,1,1330
evening,Prospect Heights,1,1294
midnight,Bushwick North,1,1293
midnight,Elmhurst,1,1274
evening,Cobble Hill,1,1243
midnight,Bedford,1,1225
evening,Carroll Gardens,1,1224
midnight,NA,1,1218
midnight,Clinton Hill,1,1210
morning,DUMBO/Vinegar Hill,1,1201
afternoon,Steinway,1,1162
afternoon,Williamsburg (South Side),1,1160
evening,Old Astoria,1,1104
evening,DUMBO/Vinegar Hill,1,1075
afternoon,Woodside,1,1070
afternoon,Cobble Hill,1,1062
afternoon,Queensbridge/Ravenswood,1,1055
midnight,Brooklyn Heights,1,1039
evening,Bedford,1,1036
midnight,Crown Heights North,1,1028
afternoon,Jackson Heights,1,1002
evening,Steinway,1,991
afternoon,NA,1,989
midnight,Prospect Heights,1,960
afternoon,Carroll Gardens,1,930
afternoon,DUMBO/Vinegar Hill,1,877
morning,Elmhurst,1,874
evening,Jackson Heights,1,870
morning,NA,1,838
evening,Woodside,1,837
midnight,Carroll Gardens,1,813
afternoon,Greenpoint,1,777
morning,Williamsburg (South Side),1,774
evening,Bushwick South,1,744
midnight,Queensbridge/Ravenswood,1,732
morning,Williamsburg (North Side),1,720
evening,Queensbridge/Ravenswood,1,680
afternoon,Baisley Park,1,679
evening,Crown Heights North,1,661
evening,Washington Heights North,1,639
morning,West Concourse,1,634
midnight,Stuyvesant Heights,1,619
midnight,Gowanus,1,618
evening,Gowanus,1,602
morning,Forest Hills,1,599
morning,Battery Park,1,598
morning,Greenpoint,1,584
morning,Clinton Hill,1,566
midnight,Washington Heights North,1,562
midnight,Elmhurst/Maspeth,1,541
midnight,Cobble Hill,1,540
afternoon,Clinton Hill,1,533
afternoon,West Concourse,1,515
midnight,Mott Haven/Port Morris,1,503
afternoon,Prospect Heights,1,453
afternoon,Elmhurst,1,446
afternoon,Flushing Meadows-Corona Park,1,444
evening,Battery Park,1,441
morning,East Elmhurst,1,416
midnight,Forest Hills,1,412
morning,Washington Heights North,1,410
afternoon,Mott Haven/Port Morris,1,409
evening,South Williamsburg,1,395
afternoon,East Williamsburg,1,386
evening,Elmhurst,1,385
evening,West Concourse,1,368
afternoon,Newark Airport,1,363
evening,Mott Haven/Port Morris,1,363
evening,East Elmhurst,1,361
midnight,Sunset Park West,1,360
evening,Baisley Park,1,360
morning,Elmhurst/Maspeth,1,358
midnight,Prospect-Lefferts Gardens,1,354
afternoon,East Elmhurst,1,350
morning,Prospect Heights,1,349
morning,East Williamsburg,1,348
midnight,Inwood,1,348
morning,Crown Heights North,1,346
evening,Prospect-Lefferts Gardens,1,341
evening,Stuyvesant Heights,1,341
midnight,Flatbush/Ditmas Park,1,338
morning,Mott Haven/Port Morris,1,332
afternoon,Jamaica,1,330
midnight,South Williamsburg,1,324
morning,Sunset Park West,1,324
morning,Flushing Meadows-Corona Park,1,314
afternoon,Gowanus,1,312
afternoon,Bedford,1,311
afternoon,Washington Heights North,1,310
midnight,DUMBO/Vinegar Hill,1,305
midnight,West Concourse,1,303
morning,Bedford,1,302
afternoon,South Jamaica,1,296
evening,Bushwick North,1,295
afternoon,Forest Hills,1,292
afternoon,Crown Heights North,1,290
morning,Baisley Park,1,284
morning,Prospect-Lefferts Gardens,1,283
evening,Inwood,1,274
morning,Gowanus,1,271
evening,Flushing Meadows-Corona Park,1,259
midnight,East Elmhurst,1,257
midnight,Rego Park,1,256
morning,Rego Park,1,243
afternoon,Briarwood/Jamaica Hills,1,240
afternoon,Elmhurst/Maspeth,1,236
evening,Flatbush/Ditmas Park,1,236
midnight,North Corona,1,234
morning,Columbia Street,1,233
morning,Bushwick South,1,230
afternoon,South Ozone Park,1,228
evening,Forest Hills,1,224
midnight,Ridgewood,1,223
afternoon,Prospect-Lefferts Gardens,1,211
morning,Flatbush/Ditmas Park,1,200
evening,Sunset Park West,1,199
afternoon,Springfield Gardens South,1,199
morning,Newark Airport,1,193
morning,Kensington,1,191
morning,Inwood,1,191
morning,Cypress Hills,1,187
evening,Elmhurst/Maspeth,1,186
morning,Briarwood/Jamaica Hills,1,175
midnight,Melrose South,1,168
afternoon,Bushwick South,1,166
afternoon,Randalls Island,1,165
afternoon,Rego Park,1,163
midnight,Crown Heights South,1,163
afternoon,Sunset Park West,1,162
evening,Jamaica,1,159
morning,Corona,1,153
morning,Saint Michaels Cemetery/Woodside,1,152
midnight,Maspeth,1,152
evening,Crown Heights South,1,152
midnight,Bay Ridge,1,151
evening,South Jamaica,1,150
afternoon,Inwood,1,146
afternoon,South Williamsburg,1,146
morning,Melrose South,1,146
afternoon,Flatbush/Ditmas Park,1,146
afternoon,Corona,1,146
afternoon,Kew Gardens,1,145
afternoon,Flushing,1,145
evening,Rego Park,1,141
morning,Jamaica,1,141
evening,Red Hook,1,139
evening,Roosevelt Island,1,139
evening,Columbia Street,1,136
evening,Briarwood/Jamaica Hills,1,136
midnight,Baisley Park,1,135
midnight,Prospect Park,1,135
evening,Maspeth,1,134
midnight,Corona,1,134
morning,Bushwick North,1,133
morning,South Jamaica,1,133
midnight,East Concourse/Concourse Village,1,131
evening,Prospect Park,1,128
evening,Brooklyn Navy Yard,1,127
afternoon,Maspeth,1,127
afternoon,Stuyvesant Heights,1,126
midnight,Flushing,1,125
midnight,Battery Park,1,125
afternoon,Kensington,1,122
afternoon,Red Hook,1,122
morning,Stuyvesant Heights,1,118
morning,Red Hook,1,118
afternoon,Roosevelt Island,1,118
evening,Kew Gardens,1,115
afternoon,Prospect Park,1,114
morning,East Concourse/Concourse Village,1,114
morning,Windsor Terrace,1,112
afternoon,Richmond Hill,1,112
evening,Springfield Gardens South,1,111
afternoon,East Concourse/Concourse Village,1,111
evening,Randalls Island,1,108
afternoon,Ocean Parkway South,1,108
morning,Grymes Hill/Clifton,1,108
midnight,Windsor Terrace,1,107
evening,Windsor Terrace,1,106
midnight,Highbridge,1,102
morning,Randalls Island,1,101
morning,Brighton Beach,1,101
afternoon,Saint Michaels Cemetery/Woodside,1,101
evening,Kensington,1,100
midnight,Flushing Meadows-Corona Park,1,100
evening,Flushing,1,100
afternoon,Cypress Hills,1,100
evening,East Concourse/Concourse Village,1,99
midnight,Kensington,1,99
morning,Kew Gardens,1,98
midnight,Erasmus,1,97
afternoon,Melrose South,1,97
midnight,Briarwood/Jamaica Hills,1,96
evening,Corona,1,96
midnight,Jamaica,1,94
evening,South Ozone Park,1,94
midnight,Ocean Hill,1,94
evening,Melrose South,1,90
midnight,Mount Hope,1,90
midnight,University Heights/Morris Heights,1,88
morning,Springfield Gardens South,1,88
morning,Flushing,1,88
evening,Bay Ridge,1,86
evening,Newark Airport,1,84
morning,Roosevelt Island,1,83
midnight,Roosevelt Island,1,83
morning,Highbridge,1,83
afternoon,Columbia Street,1,83
morning,South Williamsburg,1,81
afternoon,Brooklyn Navy Yard,1,80
morning,South Ozone Park,1,80
afternoon,Crown Heights South,1,79
evening,Richmond Hill,1,78
midnight,Richmond Hill,1,76
evening,North Corona,1,74
evening,Ridgewood,1,74
afternoon,Stapleton,1,74
afternoon,Borough Park,1,72
midnight,South Ozone Park,1,72
morning,Erasmus,1,72
afternoon,Grymes Hill/Clifton,1,69
morning,East New York,1,69
morning,Prospect Park,1,68
midnight,East New York,1,68
morning,Morrisania/Melrose,1,67
morning,Maspeth,1,67
